# P-8 corrode-fraction capture, 2026-08-30. VICE oracle, WarpMode off,
# no player input, one connection. 360s, 1868 samples, 0 dropped.
# room = $7935 (the Alien's room); damage = sum of $653F..$6562.
# 30 room changes, 4 damage -> 0.13 per action. See DISC-290.
t,room,damage
330.39,12,14
330.56,12,14
330.75,12,14
330.95,12,14
331.14,12,14
331.31,12,14
331.53,12,14
331.71,12,14
331.90,12,14
332.12,12,14
332.33,12,14
332.54,12,14
332.72,12,14
332.93,12,14
333.16,12,14
333.33,12,14
333.55,12,14
333.75,12,14
333.95,12,14
334.12,12,14
334.30,12,14
334.50,12,14
334.70,12,14
334.88,12,14
335.08,12,14
335.24,12,14
335.46,12,14
335.63,12,14
335.85,12,14
336.02,12,14
336.24,12,14
336.41,29,14
336.59,29,14
336.77,29,14
336.99,29,14
337.19,29,14
337.37,29,14
337.55,29,14
337.74,29,14
337.92,29,14
338.12,29,14
338.32,29,14
338.53,29,14
338.75,29,14
338.97,29,14
339.19,29,14
339.39,29,14
339.59,29,14
339.77,29,14
339.92,29,14
340.12,29,14
340.34,29,14
340.55,29,14
340.71,29,14
340.91,29,14
341.11,29,14
341.32,29,14
341.49,29,14
341.69,29,14
341.93,29,14
342.08,29,14
342.28,29,14
342.49,29,14
342.67,29,14
342.86,29,14
343.07,29,14
343.27,29,14
343.46,29,14
343.66,29,14
343.88,29,14
344.10,29,15
344.32,29,15
344.49,29,15
344.66,29,15
344.85,29,15
345.06,29,15
345.22,29,15
345.42,29,15
345.61,29,15
345.83,29,15
346.02,29,15
346.21,29,15
346.40,29,15
346.60,29,15
346.82,29,15
347.01,29,15
347.18,29,15
347.36,29,15
347.53,29,15
347.75,29,15
347.92,29,15
348.11,29,15
348.31,29,15
348.52,29,15
348.74,29,15
348.91,29,15
349.13,29,15
349.30,29,15
349.48,29,15
349.67,29,15
349.85,29,15
350.07,29,15
350.27,29,15
350.46,29,15
350.68,29,15
350.87,29,15
351.06,29,15
351.23,29,15
351.40,29,15
351.63,12,15
351.83,12,15
352.00,12,15
352.22,12,15
352.45,12,15
352.64,12,15
352.86,12,15
353.06,12,15
353.22,12,15
353.42,12,15
353.64,12,15
353.83,12,15
354.03,12,15
354.20,12,15
354.42,12,15
354.64,12,15
354.80,12,15
355.02,12,15
355.21,12,15
355.42,12,15
355.64,12,15
355.83,12,15
356.00,12,15
356.16,12,15
356.38,12,15
356.58,12,15
356.77,12,15
356.95,12,15
357.17,12,15
357.39,12,15
357.61,12,15
357.83,12,15
358.02,12,15
358.21,12,15
358.37,12,15
358.54,12,15
358.73,12,15
358.95,12,15
359.10,12,15
359.29,29,15
359.46,29,15
359.68,29,15
359.87,29,15
